Unnamed: 0,SuperMarketNew2004,SuperMarketPre1980,QuickServiceRestaurantNew2004,QuickServiceRestaurantPre1980,PrimarySchoolNew2004,PrimarySchoolPre1980,StripMallNew2004,StripMallPre1980,WarehouseNew2004,WarehousePre1980,Stand-aloneRetailNew2004,Stand-aloneRetailPre1980,SecondarySchoolNew2004,SecondarySchoolPre1980,FullServiceRestaurantNew2004,FullServiceRestaurantPre1980,SmallOfficeNew2004,SmallOfficePre1980,MediumOfficeNew2004,MediumOfficePre1980,LargeOfficeNew2004,LargeOfficePre1980,HospitalNew2004,HospitalPre1980,MidriseApartmentNew2004,MidriseApartmentPre1980,SmallHotelNew2004,SmallHotelPre1980,LargeHotelNew2004,LargeHotelPre1980
1358,71.1448409796,79.2469895784,12.8928352415,14.5035917198,23.5652832492,27.5281164796,8.68210405739,15.8685804894,3.24641213723,3.32900860143,9.33921399288,18.0012206115,50.0911513326,54.670503203,20.8118357537,23.6377382011,0.962509384202,1.0739416974,9.3856760881,10.1491960766,148.333204854,154.563295742,280.175227004,357.099261699,12.2380700695,13.4394259757,35.6955952685,38.0279870098,122.806447824,155.643160436
1359,71.1760610423,78.8496547304,12.8969237786,14.5080017758,23.5670290015,27.5310328381,8.68210405739,15.8685804894,3.84255744163,2.21800101295,9.28149383052,17.9110557011,50.0938154358,54.675254519,20.8060036401,23.6201144376,0.962509384202,1.0739416974,9.3856760881,10.1491960766,148.333205041,154.563295928,280.007352658,356.856883826,12.2703126553,13.3672765998,36.1939382801,38.6381624982,125.297893085,155.658431717
1360,97.4308519352,104.796680363,10.4012577339,12.0122531769,23.570807399,27.5350171052,15.5033355762,29.2782343152,3.24641213723,3.18786960666,16.6716673673,30.6155785337,50.1018260034,54.6834767974,20.8090643094,23.6462789903,0.962509384202,1.0739416974,9.3856760881,10.1491960766,148.333204775,154.563295661,319.653266783,399.223067379,11.2631809546,12.1783961681,50.3123424583,55.6028754149,143.693442983,174.576596845
1361,78.5261438478,85.674616712,10.4000683635,12.0114837696,23.58003394,27.5446051133,15.5033355762,29.2782343152,3.77290537266,2.19133880428,16.6796336942,30.5967318067,50.1178585854,54.7000441289,20.8136581839,23.6474587809,0.962509384202,1.0739416974,9.3856760881,10.1491960766,148.333205025,154.563295921,319.781570998,399.384079381,11.2376018838,12.1274953985,50.6357091133,56.7638492684,145.00210834,175.708626673
1362,78.5108893242,85.5510755667,10.4073383856,12.0183693079,23.585882346,27.5532896927,23.6994740226,46.2589358376,3.24641213723,3.02041568339,25.4143112347,46.549611087,50.129699154,54.7162041742,17.0741659703,19.892591906,0.962509384202,1.0739416974,9.3856760881,10.1491960766,129.999908126,136.229999012,315.991626396,395.607876482,10.0714229642,10.6384757687,42.4319266105,49.8913885888,118.419094037,148.006032552
1363,74.0649238297,81.1635089814,10.4087237491,12.019969365,23.5938094959,27.561620482,23.6994740226,46.2589358376,3.66906337982,2.16593715206,25.4143112347,46.549611087,50.1434042541,54.7298553771,17.0670972034,19.8883704154,0.962509384202,1.0739416974,9.3856760881,10.1491960766,129.999908233,136.22999912,315.933946211,395.545507873,10.1483522641,10.5938761984,42.6339305667,50.5202428706,118.713182429,149.314620422
1364,92.6929056307,106.182134953,12.9051665184,14.5165606111,23.5891675191,27.5601641172,23.6994740226,46.2589358376,3.24641213723,2.86425046052,25.4143112347,46.549611087,50.1398586295,54.7300511518,20.8210101287,23.6541422886,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555512645,111.785603562,319.777495237,399.377403818,8.73006370652,9.0933278975,29.0155769868,35.5715855832,95.9996533903,122.5526816
1365,92.7773114065,106.205888733,12.914239673,14.5252040967,23.5912400267,27.5631929798,23.6994740226,46.2589358376,3.56995716781,2.14856491544,25.4143112347,46.549611087,50.1433997529,54.7334341358,20.8237877618,23.6588904324,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.55551251,111.785603395,320.084744636,399.68279049,8.88389593137,9.05133021959,29.1370537456,35.9647411937,96.0338510016,122.668307812
1366,102.694206802,115.940103479,13.6949635376,15.3067999169,23.9051620505,27.8783222103,23.6994740226,46.2589358376,3.24641213723,2.69246486021,25.4160674417,46.549611087,50.4216761679,55.0121766699,21.2157802324,24.0351049201,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.55598446,111.786075332,320.400455539,400.142340961,9.15408098701,9.07624345774,28.2332490309,34.4321256164,94.6618297614,120.417334535
1367,110.823387859,124.006474488,13.2402332504,14.8512223743,23.9504135349,27.9244736665,23.6994740226,46.2589358376,3.48705479647,2.14494100517,25.4143112347,46.549611087,50.6837197256,55.2735519796,21.138928336,23.9770406747,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555984385,111.786075285,320.965710805,400.785263822,9.04516736087,9.06498761301,27.9472867987,34.1501182603,94.3102751325,119.676382155
